ts,equity,cash,positions_value,unrealized_pnl
2025-10-21T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-21T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-21T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-21T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-21T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-22T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-22T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-22T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-22T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-22T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-22T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-23T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-23T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-23T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-23T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-23T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-23T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-24T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-24T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-24T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-24T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-24T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-24T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-25T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-25T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-25T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-25T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-25T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-25T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-26T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-26T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-26T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-26T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-26T16:00:00,1000000.0,1000000,0.0,0.0
