btc_equity,sol_equity,portfolio_equity,btc_exposure,sol_exposure
8075248.353667804,2002819.0970661568,10078067.450733962,10.0,0.0
8075146.48165794,2002819.0970661568,10077965.578724097,100.0,0.0
8070055.683010549,2002819.0970661568,10072874.780076707,10.771621877289201,0.0
8067569.8492526505,2002819.0970661568,10070388.946318807,100.0,0.0
8071365.164274436,2002819.0970661568,10074184.261340594,10.809138874917304,0.0
8073130.750812578,2002819.0970661568,10075949.847878736,100.0,0.0
8159690.576094836,2002819.0970661568,10162509.673160993,100.0,0.0
8435769.102665786,2002819.0970661568,10438588.199731942,100.0,0.0
8523693.374510182,2002819.0970661568,10526512.471576339,100.0,0.0
8507729.511968404,2002819.0970661568,10510548.60903456,100.0,0.0
8637565.073633032,2002819.0970661568,10640384.170699188,100.0,0.0
8648650.336268263,2002819.0970661568,10651469.43333442,100.0,0.0
8630254.08569372,2002819.0970661568,10633073.182759877,100.0,0.0
8567463.570915658,2002819.0970661568,10570282.667981815,100.0,0.0
8664952.962994287,2002819.0970661568,10667772.060060443,100.0,0.0
8783700.378669593,2002819.0970661568,10786519.47573575,100.0,0.0
9059459.402501654,2002819.0970661568,11062278.49956781,100.0,0.0
9150719.394113418,2002819.0970661568,11153538.491179574,100.0,0.0
9070448.439425388,2002819.0970661568,11073267.536491545,100.0,0.0
9116457.805905525,2002819.0970661568,11119276.902971681,100.0,0.0
9191165.416687852,2002819.0970661568,11193984.513754008,100.0,0.0
9115304.283718416,2002819.0970661568,11118123.380784573,100.0,0.0
9180749.073454864,2002819.0970661568,11183568.17052102,100.0,0.0
9163722.28295798,2002819.0970661568,11166541.380024137,100.0,0.0
9241162.012352834,2002819.0970661568,11243981.10941899,100.0,0.0
9189929.930261524,2002819.0970661568,11192749.027327681,100.0,0.0
9018388.554536942,2002819.0970661568,11021207.651603099,11.875,0.0
9026868.276337694,2002819.0970661568,11029687.373403851,11.875,0.0
9015844.159131354,2002819.0970661568,11018663.25619751,23.75,0.0
9014118.067910733,2002819.0970661568,11016937.16497689,11.875,0.0
9016177.769524131,2002819.0970661568,11018996.866590288,11.875,0.0
9006331.82694149,2002819.0970661568,11009150.924007647,11.875,0.0
9022511.856865488,2002819.0970661568,11025330.953931645,11.875,0.0
9022565.644669877,2002819.0970661568,11025384.741736034,11.875,0.0
9025129.40119556,2002819.0970661568,11027948.498261716,11.875,0.0
9030298.320259493,2002819.0970661568,11033117.41732565,11.875,0.0
9030120.324381035,2002819.0970661568,11032939.421447191,11.875,0.0
9028959.633601157,2002819.0970661568,11031778.730667314,23.75,0.0
9021822.39168155,2002819.0970661568,11024641.488747707,11.875,0.0
9027204.424275836,2002819.0970661568,11030023.521341993,11.875,0.0
9025941.25354294,2002819.0970661568,11028760.350609096,11.875,0.0
9024712.216084514,2002819.0970661568,11027531.31315067,11.875,0.0
9025816.390397822,2002819.0970661568,11028635.487463979,23.75,0.0
9025816.390397822,2002819.0970661568,11028635.487463979,23.75,0.0
9017979.918041587,2002819.0970661568,11020799.015107743,23.75,0.0
9019409.95899737,2002819.0970661568,11022229.056063527,23.75,0.0
9015194.150591688,2002819.0970661568,11018013.247657845,23.75,0.0
9013511.663776655,2002819.0970661568,11016330.760842811,23.75,0.0
8960551.964679755,2002819.0970661568,10963371.061745912,23.75,0.0
8954552.421080679,2002819.0970661568,10957371.518146835,11.875,0.0
8953456.29090354,2002819.0970661568,10956275.387969697,11.875,0.0
8941020.664197994,2002819.0970661568,10943839.761264151,11.875,0.0
8916282.59956509,2002819.0970661568,10919101.696631247,2.96875,0.0
8920011.131876802,2002819.0970661568,10922830.228942959,2.96875,0.0
8923153.331418822,2002819.0970661568,10925972.428484978,2.96875,0.0
8923530.01454923,2002819.0970661568,10926349.111615386,2.96875,0.0
8920763.951453198,2002819.0970661568,10923583.048519354,2.96875,0.0
8921593.725197125,2002819.0970661568,10924412.822263282,2.96875,0.0
8920335.977448758,2002819.0970661568,10923155.074514914,11.875,0.0
8929223.55411364,2002819.0970661568,10932042.651179796,8.125,0.0
8915955.551764295,2002819.0970661568,10918774.648830451,16.25,0.0
8931447.52636425,2002819.0970661568,10934266.623430407,8.125,0.0
8928808.930438723,2002819.0970661568,10931628.02750488,8.125,0.0
8943905.141491853,2002819.0970661568,10946724.23855801,16.25,0.0
8964115.083643148,2002819.0970661568,10966934.180709304,8.125,0.0
